Crime_ID,FIR_Date,FIR_Time,State,District,Police_Station,Crime_Category,Crime_Subcategory,Severity,Victim_Age,Victim_Gender,Suspect_Age,Suspect_Gender,Weapon_Used,Arrest_Status,Case_Status,Latitude,Longitude,Estimated_Loss_INR,Crime_Description
CR202200066,2024-02-21,11:32,Rajasthan,Udaipur,Udaipur Police Station,Theft,Vehicle Theft,High,33,Female,21,Male,,Arrested,Chargesheet Filed,16.1608,84.3071,77863,Vehicle Theft reported in Udaipur.
CR202200067,2023-04-02,10:20,Rajasthan,Udaipur,Udaipur Police Station,Fraud,Online Fraud,Medium,21,Female,22,Male,Firearm,Arrested,Chargesheet Filed,10.384,80.4145,430850,Online Fraud reported in Udaipur.
CR202200068,2025-06-24,05:26,Uttar Pradesh,Kanpur,Kanpur Police Station,Assault,Physical Assault,Medium,50,Male,22,Female,Knife,Not Arrested,Under Investigation,28.4726,90.2708,381421,Physical Assault reported in Kanpur.
CR202200069,2025-12-05,07:36,Delhi,New Delhi,New Delhi Police Station,Murder,Homicide,Medium,61,Female,39,Male,Firearm,Not Arrested,Under Investigation,24.3363,68.8657,247353,Homicide reported in New Delhi.
CR202200070,2024-05-27,11:39,Uttar Pradesh,Varanasi,Varanasi Police Station,Kidnapping,Abduction,High,69,Male,19,Male,,Not Arrested,Closed,9.011,81.9936,259654,Abduction reported in Varanasi.
CR202200071,2023-12-01,07:14,Bihar,Patna,Patna Police Station,Chain Snatching,Snatching,High,61,Female,52,Female,Stick,Not Arrested,Under Investigation,26.3524,84.605,40678,Snatching reported in Patna.
CR202200072,2022-06-09,21:09,Delhi,New Delhi,New Delhi Police Station,Kidnapping,Abduction,High,50,Female,43,Male,Knife,Arrested,Chargesheet Filed,26.7529,89.8652,298854,Abduction reported in New Delhi.
CR202200073,2025-05-08,08:50,Odisha,Bhubaneswar,Bhubaneswar Police Station,Burglary,House Break-in,Low,60,Male,65,Female,Knife,Not Arrested,Closed,13.764,76.7598,87356,House Break-in reported in Bhubaneswar.
CR202200074,2024-08-07,08:31,Rajasthan,Jodhpur,Jodhpur Police Station,Kidnapping,Abduction,Medium,49,Male,22,Female,Firearm,Not Arrested,Chargesheet Filed,13.7952,79.2297,180580,Abduction reported in Jodhpur.
CR202200075,2024-06-17,05:06,Tamil Nadu,Madurai,Madurai Police Station,Domestic Violence,Domestic Abuse,Low,56,Female,61,Female,Stick,Not Arrested,Closed,10.0293,96.0084,94224,Domestic Abuse reported in Madurai.
CR202200076,2025-02-08,08:54,Uttar Pradesh,Varanasi,Varanasi Police Station,Assault,Physical Assault,Medium,60,Female,60,Male,,Arrested,Closed,22.1414,90.2636,166856,Physical Assault reported in Varanasi.
CR202200077,2025-07-02,21:57,Maharashtra,Mumbai,Mumbai Police Station,Vandalism,Property Damage,High,56,Female,25,Female,Stick,Arrested,Under Investigation,21.4793,90.9513,198490,Property Damage reported in Mumbai.
CR202200078,2025-07-29,07:03,Odisha,Cuttack,Cuttack Police Station,Chain Snatching,Snatching,Low,44,Male,33,Male,Firearm,Arrested,Chargesheet Filed,33.6056,68.7733,24387,Snatching reported in Cuttack.
CR202200079,2023-12-25,12:22,Bihar,Gaya,Gaya Police Station,Robbery,Armed Robbery,Medium,49,Male,48,Female,Stick,Arrested,Under Investigation,16.6132,69.6397,228984,Armed Robbery reported in Gaya.
CR202200080,2024-06-01,21:38,Haryana,Faridabad,Faridabad Police Station,Domestic Violence,Domestic Abuse,High,59,Female,62,Female,Stick,Not Arrested,Chargesheet Filed,30.5485,89.875,99413,Domestic Abuse reported in Faridabad.
CR202200081,2023-11-02,09:25,Gujarat,Vadodara,Vadodara Police Station,Cyber Crime,Phishing,Medium,58,Male,62,Female,Stick,Not Arrested,Under Investigation,18.9233,71.4029,353945,Phishing reported in Vadodara.
CR202200082,2022-11-01,16:16,Haryana,Faridabad,Faridabad Police Station,Drug Offence,Drug Possession,High,18,Female,18,Male,,Arrested,Closed,23.9574,74.4561,183420,Drug Possession reported in Faridabad.
CR202200083,2024-11-17,16:54,Tamil Nadu,Madurai,Madurai Police Station,Chain Snatching,Snatching,High,35,Female,65,Male,Stick,Not Arrested,Chargesheet Filed,24.5304,79.0934,122921,Snatching reported in Madurai.
CR202200084,2022-08-07,02:03,Kerala,Kochi,Kochi Police Station,Robbery,Armed Robbery,High,48,Male,48,Male,,Not Arrested,Under Investigation,33.554,72.597,487169,Armed Robbery reported in Kochi.
CR202200085,2023-03-01,04:52,Madhya Pradesh,Bhopal,Bhopal Police Station,Robbery,Armed Robbery,Low,36,Female,35,Female,Knife,Not Arrested,Chargesheet Filed,22.6582,92.1589,177177,Armed Robbery reported in Bhopal.
CR202200086,2023-02-09,09:46,Haryana,Faridabad,Faridabad Police Station,Domestic Violence,Domestic Abuse,High,46,Male,29,Female,Firearm,Not Arrested,Chargesheet Filed,9.022,69.2931,497362,Domestic Abuse reported in Faridabad.
CR202200087,2024-11-14,19:29,Punjab,Amritsar,Amritsar Police Station,Kidnapping,Abduction,Low,57,Male,52,Female,Knife,Not Arrested,Chargesheet Filed,34.6885,70.0259,38990,Abduction reported in Amritsar.
CR202200088,2025-11-15,22:27,Karnataka,Bengaluru,Bengaluru Police Station,Assault,Physical Assault,Medium,23,Male,40,Male,,Arrested,Under Investigation,27.9759,78.4788,188131,Physical Assault reported in Bengaluru.
CR202200089,2025-11-26,13:12,Odisha,Cuttack,Cuttack Police Station,Domestic Violence,Domestic Abuse,Low,56,Female,64,Male,,Not Arrested,Closed,18.1754,87.878,42725,Domestic Abuse reported in Cuttack.
CR202200090,2023-07-04,18:12,Gujarat,Vadodara,Vadodara Police Station,Assault,Physical Assault,Medium,22,Male,23,Female,Knife,Not Arrested,Closed,29.3534,84.3884,21982,Physical Assault reported in Vadodara.
CR202200091,2025-06-22,04:07,Gujarat,Surat,Surat Police Station,Drug Offence,Drug Possession,Low,33,Female,58,Male,Firearm,Arrested,Chargesheet Filed,23.3495,84.4861,338278,Drug Possession reported in Surat.
CR202200092,2023-11-28,13:07,Punjab,Amritsar,Amritsar Police Station,Chain Snatching,Snatching,High,62,Male,41,Male,,Not Arrested,Under Investigation,29.7624,96.4502,257936,Snatching reported in Amritsar.
CR202200093,2023-12-01,09:01,Madhya Pradesh,Indore,Indore Police Station,Vandalism,Property Damage,High,24,Male,42,Female,Knife,Arrested,Closed,21.0377,71.162,94048,Property Damage reported in Indore.
CR202200094,2022-05-17,01:42,Odisha,Cuttack,Cuttack Police Station,Cyber Crime,Phishing,High,29,Male,27,Male,Knife,Arrested,Chargesheet Filed,33.5945,96.8566,332766,Phishing reported in Cuttack.
CR202200095,2022-08-11,11:17,Bihar,Patna,Patna Police Station,Kidnapping,Abduction,Low,36,Female,61,Male,Firearm,Arrested,Closed,20.5123,91.2375,25620,Abduction reported in Patna.
CR202200096,2023-06-20,00:12,Madhya Pradesh,Bhopal,Bhopal Police Station,Chain Snatching,Snatching,Medium,49,Male,19,Male,Knife,Not Arrested,Closed,34.808,94.4139,392342,Snatching reported in Bhopal.
CR202200097,2023-03-03,05:52,West Bengal,Siliguri,Siliguri Police Station,Murder,Homicide,Low,30,Male,23,Female,Firearm,Not Arrested,Under Investigation,26.7907,74.0292,411769,Homicide reported in Siliguri.
CR202200098,2025-04-02,21:21,Madhya Pradesh,Bhopal,Bhopal Police Station,Robbery,Armed Robbery,High,64,Female,65,Male,Knife,Arrested,Closed,19.2353,82.7273,62312,Armed Robbery reported in Bhopal.
CR202200099,2024-09-21,23:45,Uttar Pradesh,Lucknow,Lucknow Police Station,Assault,Physical Assault,Low,45,Female,44,Female,Knife,Not Arrested,Chargesheet Filed,23.3052,82.286,489385,Physical Assault reported in Lucknow.
CR202200100,2025-10-30,20:51,Gujarat,Vadodara,Vadodara Police Station,Robbery,Armed Robbery,Medium,20,Male,28,Male,Stick,Arrested,Chargesheet Filed,18.2761,73.3413,198749,Armed Robbery reported in Vadodara.
CR202200101,2024-02-01,22:44,Odisha,Bhubaneswar,Bhubaneswar Police Station,Assault,Physical Assault,Low,44,Female,49,Female,Stick,Arrested,Under Investigation,12.6852,83.3042,372623,Physical Assault reported in Bhubaneswar.
CR202200102,2022-01-13,04:09,Odisha,Cuttack,Cuttack Police Station,Theft,Vehicle Theft,Medium,25,Male,54,Female,Firearm,Not Arrested,Under Investigation,19.9828,96.3455,464590,Vehicle Theft reported in Cuttack.
CR202200103,2024-11-28,23:16,Odisha,Cuttack,Cuttack Police Station,Fraud,Online Fraud,Low,20,Male,51,Female,Knife,Not Arrested,Under Investigation,23.3237,88.3027,257213,Online Fraud reported in Cuttack.
CR202200104,2022-07-21,18:37,Gujarat,Ahmedabad,Ahmedabad Police Station,Missing Person,Missing Adult,Medium,70,Male,61,Female,,Arrested,Closed,19.1441,82.8083,150331,Missing Adult reported in Ahmedabad.
CR202200105,2025-09-17,08:13,Rajasthan,Jaipur,Jaipur Police Station,Cyber Crime,Phishing,Medium,35,Male,59,Male,Firearm,Not Arrested,Chargesheet Filed,8.3303,77.7544,32808,Phishing reported in Jaipur.
CR202200106,2024-07-20,21:01,Rajasthan,Jaipur,Jaipur Police Station,Assault,Physical Assault,High,25,Female,20,Female,Stick,Not Arrested,Under Investigation,25.727,86.2326,400988,Physical Assault reported in Jaipur.
CR202200107,2022-07-04,07:03,Rajasthan,Udaipur,Udaipur Police Station,Robbery,Armed Robbery,Low,62,Male,56,Female,Stick,Not Arrested,Chargesheet Filed,11.9379,90.0962,9322,Armed Robbery reported in Udaipur.
CR202200108,2025-05-22,15:23,Telangana,Warangal,Warangal Police Station,Vandalism,Property Damage,Low,52,Female,48,Female,Firearm,Not Arrested,Closed,27.8559,88.2518,89305,Property Damage reported in Warangal.
CR202200109,2022-11-28,15:00,Telangana,Hyderabad,Hyderabad Police Station,Murder,Homicide,Medium,23,Male,65,Male,Firearm,Not Arrested,Chargesheet Filed,25.4898,93.3166,204691,Homicide reported in Hyderabad.
CR202200110,2024-05-10,08:03,West Bengal,Kolkata,Kolkata Police Station,Chain Snatching,Snatching,High,53,Female,37,Male,Stick,Arrested,Closed,25.4111,91.276,179012,Snatching reported in Kolkata.
CR202200111,2024-08-15,01:19,Bihar,Gaya,Gaya Police Station,Murder,Homicide,Low,27,Female,32,Male,Knife,Arrested,Chargesheet Filed,19.7117,93.9695,392411,Homicide reported in Gaya.
CR202200112,2024-01-17,19:07,Bihar,Gaya,Gaya Police Station,Assault,Physical Assault,High,20,Male,46,Male,Stick,Not Arrested,Under Investigation,11.0591,79.3279,191141,Physical Assault reported in Gaya.
CR202200113,2023-01-28,22:04,Rajasthan,Jodhpur,Jodhpur Police Station,Chain Snatching,Snatching,Medium,18,Male,52,Female,Stick,Not Arrested,Under Investigation,26.5467,73.3219,396029,Snatching reported in Jodhpur.
CR202200114,2024-12-08,13:35,Bihar,Patna,Patna Police Station,Cyber Crime,Phishing,Low,20,Male,57,Female,Stick,Not Arrested,Under Investigation,28.8413,85.3424,152542,Phishing reported in Patna.
CR202200115,2025-09-07,07:27,Gujarat,Surat,Surat Police Station,Theft,Vehicle Theft,High,18,Female,30,Female,,Arrested,Closed,11.5485,92.7376,434127,Vehicle Theft reported in Surat.
CR202200116,2023-04-10,15:26,Haryana,Faridabad,Faridabad Police Station,Kidnapping,Abduction,Low,31,Female,61,Female,Knife,Arrested,Chargesheet Filed,23.696,83.8534,412072,Abduction reported in Faridabad.
CR202200117,2025-09-28,08:25,Telangana,Warangal,Warangal Police Station,Robbery,Armed Robbery,High,19,Male,28,Male,Knife,Arrested,Closed,31.246,95.4374,351950,Armed Robbery reported in Warangal.
CR202200118,2024-09-08,17:08,Uttar Pradesh,Kanpur,Kanpur Police Station,Murder,Homicide,Medium,29,Female,22,Male,Firearm,Not Arrested,Chargesheet Filed,34.5115,75.1042,425222,Homicide reported in Kanpur.
CR202200119,2024-11-11,10:09,Haryana,Gurugram,Gurugram Police Station,Chain Snatching,Snatching,Low,63,Female,53,Male,,Arrested,Under Investigation,20.0643,88.842,15505,Snatching reported in Gurugram.
CR202200120,2025-02-05,06:27,Maharashtra,Nagpur,Nagpur Police Station,Domestic Violence,Domestic Abuse,Medium,29,Male,30,Female,Knife,Arrested,Chargesheet Filed,27.878,68.5511,475371,Domestic Abuse reported in Nagpur.
CR202200121,2023-11-26,04:43,Punjab,Amritsar,Amritsar Police Station,Assault,Physical Assault,Medium,55,Male,43,Female,Firearm,Not Arrested,Chargesheet Filed,9.093,71.5087,113931,Physical Assault reported in Amritsar.
CR202200122,2023-07-23,22:14,Delhi,New Delhi,New Delhi Police Station,Vandalism,Property Damage,Low,46,Male,48,Female,Knife,Arrested,Under Investigation,19.7632,82.2914,102568,Property Damage reported in New Delhi.
CR202200123,2025-10-09,15:17,West Bengal,Kolkata,Kolkata Police Station,Cyber Crime,Phishing,Low,51,Female,58,Female,,Arrested,Under Investigation,8.1362,73.3386,150477,Phishing reported in Kolkata.
CR202200124,2025-09-15,05:19,Madhya Pradesh,Indore,Indore Police Station,Kidnapping,Abduction,High,30,Female,63,Female,Knife,Arrested,Under Investigation,33.2662,82.367,286791,Abduction reported in Indore.
CR202200125,2025-08-17,14:41,Tamil Nadu,Coimbatore,Coimbatore Police Station,Missing Person,Missing Adult,High,52,Male,22,Female,Stick,Not Arrested,Chargesheet Filed,17.5067,86.6728,490943,Missing Adult reported in Coimbatore.
